full_path,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-26.708778381347656,-0.7967331409454346,-0.7967331409454346,-26.434402465820312,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-27.24178123474121,5.961272239685059,5.961272239685059,-25.54774284362793,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-27.28833770751953,6.015027046203613,6.015027046203613,-26.8328857421875,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-20.791709899902344,7.436768531799316,7.436768531799316,-20.621871948242188,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-26.621994018554688,6.272233009338379,6.272233009338379,-25.08383560180664,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-24.4788818359375,9.83699893951416,9.83699893951416,-24.13593101501465,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-27.70618438720703,9.116792678833008,9.116792678833008,-27.389869689941406,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-25.76165771484375,5.977977752685547,5.977977752685547,-25.84140396118164,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-24.976808547973633,6.9134674072265625,6.9134674072265625,-24.466747283935547,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-32.233551025390625,0.7257737517356873,0.7257737517356873,-32.642887115478516,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-28.813047409057617,5.008460521697998,5.008460521697998,-27.728858947753906,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-36.60028076171875,1.272601842880249,1.272601842880249,-30.63587188720703,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.268112182617188,0.8005266189575195,0.8005266189575195,-24.61058807373047,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-40.53626251220703,0.3282266855239868,0.3282266855239868,-27.0882625579834,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-23.796852111816406,9.635982513427734,9.635982513427734,-23.65856170654297,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-30.36350440979004,1.4010199308395386,1.4010199308395386,-23.435840606689453,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-23.367507934570312,0.40591204166412354,0.40591204166412354,-24.077234268188477,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-29.959449768066406,5.092654705047607,5.092654705047607,-29.303224563598633,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-31.14187240600586,2.433150053024292,2.433150053024292,-29.020580291748047,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-34.47160339355469,8.426227569580078,8.426227569580078,-33.86530303955078,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-29.436389923095703,7.230924606323242,7.230924606323242,-28.876697540283203,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-33.12809753417969,6.532185077667236,6.532185077667236,-32.517738342285156,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-29.74847412109375,7.884719371795654,7.884719371795654,-29.60457992553711,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-25.311359405517578,4.581348419189453,4.581348419189453,-24.74270248413086,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-27.459705352783203,10.072672843933105,10.072672843933105,-27.018760681152344,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-31.13513946533203,3.5725865364074707,3.5725865364074707,-32.16162109375,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-28.5794677734375,5.977926731109619,5.977926731109619,-27.182710647583008,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-29.41878890991211,3.9436938762664795,3.9436938762664795,-25.81821632385254,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-25.548416137695312,2.925503969192505,2.925503969192505,-22.573232650756836,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-25.449878692626953,3.4992871284484863,3.4992871284484863,-21.940876007080078,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-22.5058650970459,6.580397129058838,6.580397129058838,-22.033702850341797,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.559667587280273,7.528757095336914,7.528757095336914,-23.70153045654297,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-28.058277130126953,4.070377349853516,4.070377349853516,-27.23737335205078,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-21.68964195251465,8.298334121704102,8.298334121704102,-20.65606117248535,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-29.786474227905273,5.715315341949463,5.715315341949463,-29.915660858154297,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-27.164220809936523,1.6063646078109741,1.6063646078109741,-27.567731857299805,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-18.564556121826172,12.081161499023438,12.081161499023438,-18.335365295410156,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-22.119733810424805,7.679119110107422,7.679119110107422,-21.583343505859375,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-22.716754913330078,16.01103973388672,16.01103973388672,-22.805736541748047,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-29.278045654296875,1.959700584411621,1.959700584411621,-28.52054214477539,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-27.819955825805664,2.956334114074707,2.956334114074707,-24.683502197265625,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-24.287080764770508,5.188604354858398,5.188604354858398,-23.32208824157715,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-26.69125747680664,6.050484657287598,6.050484657287598,-26.35714340209961,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-24.081018447875977,10.341917991638184,10.341917991638184,-23.53285789489746,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-24.324405670166016,6.056491374969482,6.056491374969482,-23.730392456054688,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-30.17212677001953,0.7389312982559204,0.7389312982559204,-30.713651657104492,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-28.005714416503906,2.787715435028076,2.787715435028076,-25.904481887817383,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-25.092056274414062,12.184000015258789,12.184000015258789,-24.87177085876465,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-39.7468147277832,0.8050862550735474,0.8050862550735474,-31.59063720703125,6932jblk,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-29.45205307006836,2.2936859130859375,2.2936859130859375,-28.267908096313477,6932jblk,MUSDB18HQDatasource
