full_path,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-31.920963287353516,0.7607866525650024,0.7607866525650024,-24.678516387939453,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-26.412982940673828,2.883358955383301,2.883358955383301,-26.306720733642578,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-22.802488327026367,6.747859954833984,6.747859954833984,-22.545547485351562,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-27.533653259277344,1.1162912845611572,1.1162912845611572,-20.09284019470215,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-25.332548141479492,3.421786308288574,3.421786308288574,-25.261470794677734,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-27.937725067138672,5.555447578430176,5.555447578430176,-27.41593360900879,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-27.335222244262695,5.427475929260254,5.427475929260254,-26.9068546295166,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.78638458251953,3.9762723445892334,3.9762723445892334,-25.35013198852539,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-24.69193458557129,5.7520012855529785,5.7520012855529785,-23.708232879638672,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-23.877548217773438,5.685275077819824,5.685275077819824,-23.813495635986328,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-25.75819206237793,3.7038049697875977,3.7038049697875977,-26.025558471679688,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-23.764785766601562,1.004197359085083,1.004197359085083,-24.691608428955078,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-24.936527252197266,8.46735954284668,8.46735954284668,-24.645771026611328,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-23.999814987182617,4.5366339683532715,4.5366339683532715,-23.734025955200195,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-23.984580993652344,5.255367279052734,5.255367279052734,-23.704723358154297,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-24.452190399169922,6.0739288330078125,6.0739288330078125,-23.63784408569336,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-21.580612182617188,4.530872344970703,4.530872344970703,-19.13758087158203,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-23.349742889404297,6.244107246398926,6.244107246398926,-23.248004913330078,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-24.422447204589844,5.763523101806641,5.763523101806641,-23.506267547607422,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-27.19036102294922,-5.354449272155762,-5.354449272155762,-33.83903121948242,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-25.412578582763672,5.9874773025512695,5.9874773025512695,-23.726167678833008,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-29.41472816467285,4.630152702331543,4.630152702331543,-29.74396514892578,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-27.39801788330078,5.011117935180664,5.011117935180664,-26.371723175048828,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-24.163694381713867,5.864558219909668,5.864558219909668,-23.32993507385254,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-21.61556625366211,7.776459217071533,7.776459217071533,-21.355548858642578,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-27.304012298583984,5.090404510498047,5.090404510498047,-26.072696685791016,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-24.61811065673828,6.246029376983643,6.246029376983643,-23.57499885559082,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-59.438209533691406,-0.0004210083279758692,-0.0004210083279758692,-29.029205322265625,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-26.796154022216797,1.8501977920532227,1.8501977920532227,-26.435253143310547,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-35.035255432128906,4.924161911010742,4.924161911010742,-32.9968376159668,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-23.3121395111084,4.607785224914551,4.607785224914551,-21.898513793945312,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.352893829345703,6.380967140197754,6.380967140197754,-25.057022094726562,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-21.785133361816406,7.134620666503906,7.134620666503906,-20.822860717773438,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-23.215557098388672,7.033614158630371,7.033614158630371,-22.871623992919922,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-35.3035888671875,3.529022216796875,3.529022216796875,-34.26063919067383,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-23.960433959960938,4.709323883056641,4.709323883056641,-22.366750717163086,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-25.013572692871094,2.767871618270874,2.767871618270874,-25.005199432373047,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-24.044296264648438,6.941288948059082,6.941288948059082,-23.299657821655273,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-22.51428985595703,5.981182098388672,5.981182098388672,-22.562339782714844,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-24.166173934936523,4.589914798736572,4.589914798736572,-23.239118576049805,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-26.02698516845703,2.096961259841919,2.096961259841919,-24.12228775024414,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-24.536344528198242,3.322739839553833,3.322739839553833,-22.923269271850586,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-27.391035079956055,5.378131866455078,5.378131866455078,-26.000146865844727,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-26.61656379699707,6.19858455657959,6.19858455657959,-26.859085083007812,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-31.099254608154297,2.763496160507202,2.763496160507202,-31.64095115661621,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-21.65204620361328,7.724853515625,7.724853515625,-20.67180824279785,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-26.206350326538086,-0.06268830597400665,-0.06268830597400665,-27.999618530273438,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-30.255125045776367,3.6042704582214355,3.6042704582214355,-28.894882202148438,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-23.683908462524414,7.0482025146484375,7.0482025146484375,-22.704811096191406,qtyn4z9v,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-22.348045349121094,6.183979034423828,6.183979034423828,-21.84394073486328,qtyn4z9v,MUSDB18HQDatasource
